X,Y,OBJECTID,Stop_Code,Stop_ID,Stop_Name,Street,Cross_Street,Position,Stop_Lat,Stop_Lon,Downtown,Council_District,Sign_Crew,Road_Maint,GoRaleigh,GoTriangle,Wolfline,Wake_Forest,GoDurham,GoCary,Shelter,Shelter_Type,Shelter_Count,Bench,Bench_Type,Bench_Count,Trash_Can,Trash_Can_Type,Trash_Can_Count,Landing_Pad,Amenity_Pad,Pad_Size,Bike_Rack,Lighting,Lighting_Type,Real_Time,USB_Charging,Sidewalk,Crosswalk,Ped_Signal,Curb_Ramp,ADA_Compliant,Bike_Lane,Greenway,Art,Project,Project_Type,Project_Status,Project_Target,R1,R2,R2L,R3,R4,R5,R6,R7,R7L,R8,R8L,R9,R10,R11,R11L,R12,R13,R14,R15,R15L,R16,R18,R18S,R19,R20,R21,R22,R23,R23L,R24,R24L,R25,R25L,R26,R27,R28,R29,R31,R32,R33,R34,R36,R40X,R55X,R70X,R401X,R_Line,WRX,WFL,FRX,ZWX,Boardings,Alightings,Facility_ID,CreationDate,Creator,EditDate,Editor,Project_Lead,Sign_Type,Bus_Zone,Project_Complete,Ridership_Updated,Landscaping,GlobalID,R17,EmergencyPhone,Adoptable,Adoption_Status
-78.6533558284,35.7815446216,1,1201,1201,Hillsborough St at Mayo St,Hillsborough St,Mayo St,Far,35.7815446215,-78.6533558284,No,D,C,Municipal,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,Yes,Yes,Yes,No,,No,No,,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,4,1201,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/28 21:02:19.106+00,Matthew.Vanhoeck@raleighnc.gov_ral,,GoRaleigh,No,,2022/01/20 05:00:00+00,,35785dd5-80f7-45bf-ad73-c8b8049d3c37,No,,No,Available
-78.6383519015,35.7744559433,2,1284,1284,Wilmington St at Cabarrus St,Wilmington St,Cabarrus St,Far,35.7744559436,-78.6383519015,Yes,C,E,Municipal,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,Yes,No,,No,Some,Street,No,No,Yes,No,No,Yes,No,Yes,Yes,No,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,12,68,1284,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,CAT,No,,2022/01/20 05:00:00+00,Compliant,1b52f78b-d06e-4b11-9520-898f8dce2b92,No,,No,Available
-78.6200591292,35.8682012261,3,1483,1483,Spring Forest Rd at Falls of Neuse,Spring Forest Rd,Falls of Neuse,Far,35.8682012263,-78.6200591292,No,A,B,NCDOT,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,1483,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,CAT,No,,2022/01/20 05:00:00+00,,3f334b45-1c95-45e4-94ff-d9384090ed2b,No,,No,Available
-78.6403999993,35.7355000008,4,1539,1539,Hammond Rd at Chapanoke Rd (SECU),Hammond Rd,Chapanoke Rd (SECU), ,35.7355000005,-78.6403999993,No,D,D,NCDOT,Yes,No,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,5,1539,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/04/14 20:18:25.170+00,Matthew.Vanhoeck@raleighnc.gov_ral,,GoRaleigh,No,,2022/01/20 05:00:00+00,,fe50eac8-5ec8-4167-bd46-f93c2ca194bc,No,,No,Available
-78.6399572323,35.7354491294,5,1540,1540,Hammond Rd at Chapanoke Rd (Detention Center),Hammond Rd,Chapanoke Rd (Detention Center), ,35.7354491297,-78.6399572323,No,D,D,NCDOT,Yes,No,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,Shelter,Planned,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,4,3,1540,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/04/14 20:18:42.538+00,Matthew.Vanhoeck@raleighnc.gov_ral,,GoRaleigh,No,,2022/01/20 05:00:00+00,,7d4417dc-fb21-4284-bb89-849d875aae5a,No,,No,Available
-78.6452624577,35.7805450951,6,1703,1703,Hillsborough St at Dawson St,Hillsborough St,Dawson St,Near,35.7805450951,-78.6452624577,Yes,D,E,Municipal,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,,,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,8,1703,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,CAT,No,,2022/01/20 05:00:00+00,,180dac20-51ab-4ea3-b577-043c29315272,No,,No,Available
-78.5105682466,35.9759558555,7,1811,1811,White St at Elm Ave (Park-and-Ride),White St,Elm Ave (Park-and-Ride), ,35.9759558555,-78.5105682466,No,,B,,Yes,No,No,Yes,No,No,No,,0,Yes,Improved,1,Yes,Concrete Mounted,1,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,Shelter,Planned,2022,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1811,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,d10aac37-b794-4a10-ba50-f86ebfe06efb,No,,No,Available
-78.5338948651,35.9859692537,8,1812,1812,WF Crossing Shopping Center at Lowes Foods,WF Crossing Shopping Center,Lowes Foods, ,35.9859692537,-78.5338948651,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,Yes,No,,No,,,No,No,No,No,No,No,No,,No,No,,Shelter,Planned,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,8,8,1812,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,6298f7d5-c08b-4c1f-9bcc-bbd9dd57a402,No,,No,Available
-78.5234299996,35.9880399996,9,1813,1813,Stadium Dr at Whistling Swan Dr,Stadium Dr,Whistling Swan Dr, ,35.9880399999,-78.5234299996,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,2,1813,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,a6030c10-d343-4377-99e9-970848571564,No,,No,Available
-78.5205409647,35.9855117117,10,1814,1814,Stadium Dr at McDowell Dr,Stadium Dr,McDowell Dr, ,35.9855117117,-78.5205409647,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,1,1814,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,ca1287b9-adee-4fee-b038-2a6b76995fc1,No,,No,Available
