Stop ID,Stop Name,Y Coordinate,X Coordinate,Sign Present,Sign Rating,Sign Correctly Aligned,Shelter Present,Shelter Rating,Shelter Type, Shelter Price ,Bench Present,Bench Rating,Bench Type,Surface Under Bench,Bench Divider Divider Present, Bench Price ,Trash Can Present,Trash Can Rating,Trash Can Type, Trashcan Price ,Bike Rack Present,Bike Rack Rating,Lighting Present,Lighting Rating,Landing Pad Present,Landing Pad Rating,Landing Pad Cross Slope,Landing Pad Running,Sidewalk Present,Sidewalk Width,Sidewalk Condition,Manhole,Utility Pole,Electrical Box,Foliage,Other,Passageway,Traffic Signal,Posted Speed Limit,Designated Bus Zone,Painted Curbs,No Parking Signs,Flashing Lights,Other signs and Controls,Curb Ramp,Cross Walk,PedestrianÂ Signal,>2.08% Cross Slope,>5.0% Running Slope,"Clear floor area < 30"" by 48""","<36"" maintained around the shelter",No Wheelchair Access,"Seat Depth: < 20"" or > 24"" length","Seat Height: < 17"" or > 19"" from ground",Signs - GoRaleigh,Signs - GoTriangle,Signs - Wolfline,Signs - GoCary,Signs - GoDurham,Signs - Other,Timetamp
261,Enterprise St at Clark Ave,-78.66399633,35.78967725,Yes,3,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,5,No ,N/A,0,0,Yes,3' to 5',Good,No,Yes,No,No,No,>3',No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No, 07/28/2022 @ 05:01 am
1201,Hillsborough St at Mayo St,-78.65335583,35.78154462,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,Yes,1,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No, 06/27/2022 @ 12:34 pm
1284,Wilmington St at Cabarrus St,-78.6383519,35.77445594,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,Yes,3,0,0,Yes,5' or greater,Poor  ,No,No,No,No,No,>3',Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No, 06/23/2022 @ 05:38 am
1293,Dawson St. at Martin St.,-78.64361507,35.77730614,Yes,1,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,Yes,3,0,0,Yes,5' or greater,Fair,No,No,No,No,No,>3',Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No, 06/27/2022 @ 08:56 am
1532,7th Ave at Garner Town Hall IB,-78.6209405,35.70547562,Yes,4,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,4,No ,N/A,0,0,Yes,3' to 5',Excellent,No,No,No,No,No,>3',No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No, 06/27/2022 @ 07:24 am
1533,7th Ave at Forest Hills Dr,-78.6217208,35.70582257,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,5,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No, 06/27/2022 @ 07:28 am
1534,Michael J Smith Ln at Carl Sandburg Ct,-78.581855,35.780268,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,No ,N/A,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No, 06/29/2022 @ 10:58 am
1539,Hammond Rd at Chapanoke Rd (SECU),-78.6404,35.7355,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,No ,N/A,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No, 06/15/2022 @ 07:45 pm
1540,Hammond Rd at Chapanoke Rd (Detention Center),-78.63995723,35.73544913,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,No ,N/A,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No, 06/15/2022 @ 07:45 pm
1637,White Oak Crossing,-78.581775,35.692121,Yes,4,No,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,4,Yes,1,0,0,Yes,3' to 5',Excellent,No,No,No,No,No,>3',No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No, 07/01/2022 @ 04:52 am
1703,Hillsborough St at Dawson St,-78.64526246,35.7805451,Yes,4,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,Yes,4,Concrete, $ 800.00 ,Yes,3,Yes,1,No ,N/A,0,0,Yes,5' or greater,Poor  ,No,No,No,No,Yes,>3',Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No, 06/28/2022 @ 12:22 pm
1817,White St at Roosevelt Ave,-78.50906,35.97979,Yes,5,Yes,No ,N/A,N/A, $ -   ,Yes,4,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,5,Yes,5,0,0,Yes,5' or greater,Excellent,No,No,No,No,No,>3',Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No, 07/01/2022 @ 06:32 am
1825,Holding Ave at Northern Regional Ce,-78.510925,35.970656,Yes,4,Yes,No ,N/A,N/A, $ -   ,Yes,3,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,Yes,1,0,0,Yes,3' to 5',Fair,No,No,No,No,No,>3',No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No, 06/23/2022 @ 09:52 am
1838,Retail Dr at Target,-78.54259,35.97285,Yes,5,Yes,No ,N/A,N/A, $ -   ,Yes,3,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,Yes,No,>3',No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, 06/24/2022 @ 08:24 am
1839,Retail Dr at Durham Rd (NC 98),-78.54329,35.97667,Yes,5,Yes,No ,N/A,N/A, $ -   ,Yes,4,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No, 06/24/2022 @ 08:55 am
1844,Retail Dr at Staples,-78.54146158,35.97030558,Yes,5,Yes,No ,N/A,N/A, $ -   ,Yes,3,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,No ,N/A,0,0,No  ,N/A,N/A,No,No,No,Yes,No,<3',No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No, 06/24/2022 @ 06:22 am
