"Stop ID","Stop Name","X","Y","Sign","Aligned","Bike Rack","Lighting","Shelter","Shelter Type","Bench","Bench Type","Surface","Divider","Landing Pad","Cross","Running","SW Width","SW Cond","Manhole","Utility Pole","Electrical Box","Foliage","Other","Passageway","Amen 1","Amen 2","Amen 3","Amen 4","Amen 5","Amen 6","Amen 7","Amen 8","Amen 9","Amen 10","ADA 1","ADA 2","ADA 3","ADA 4","ADA 5","ADA 6","ADA 7","ADA 8","ADA 9","ADA 10","ADA 11","ADA 12","ADA 13","GoRaleigh","GoTriangle","Wolfline","GoCary","GoDurham","Other","Surveyor","Timetamp"
"8316","Rock Quarry Rd Opposite Watson's Flea Market","35.76113946","null","4","Yes","None","1","4","Full Shelter","3","Full Shelter","Concrete Pad","No Divider","4","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 06:55 am"
"9474","Rock Quarry Rd at Blazing Star Ln","35.7651955","-78.63047195465","4","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Brandon Quintana "," 06/14/2022 @ 07:05 am"
"8292","Rock Quarry Rd at Raleigh Blvd","35.76611935","-78.63047195465","3","Yes","None","None","None","None","2","Dirt standalone","Located on Dirt","No Divider","None","0","0","No sidewalk","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 07:15 am"
"8302","Rock Quarry Rd at Raleigh Blvd","35.76616473","-78.63047195465","4","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 07:24 am"
"9164","Raleigh Blvd at MLK Jr Blvd","35.76816559","-78.63047195465","4","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 07:34 am"
"9516","MLK Jr Blvd at Raleigh Blvd","35.76978607","-78.63047195465","4","Yes","None","4","4","Slim Shelter","4","Slim Shelter","Concrete Pad","No Divider","4","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 07:52 am"
"8288","MLK Jr Blvd at Grantland Dr","35.77082549","-78.63047195465","4","Yes","None","4","None","None","None","None","No","No","None","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 07:59 am"
"9608","MLK Jr Blvd at Raleigh Blvd","35.77013088","-78.63047195465","4","Yes","None","None","4","Slim Shelter","3","Slim Shelter","Concrete Pad","Divider","4","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 08:15 am"
"8676","MLK Jr Blvd at Rock Quarry Rd","35.76883431","-78.63047195465","4","Yes","None","None","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","Yes","No","Greater than 3'","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 08:25 am"
"8897","Rock Quarry Rd. at MLK","35.76811015","-78.63047195465","4","Yes","None","None","None","None","None","None","No","No","3","0","0","No sidewalk","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 08:35 am"
"8318","Rock Quarry Rd at Merrywood Dr","35.76931254","-78.63047195465","4","Yes","None","5","None","None","None","None","No","No","None","0","0","3' to 5'","Excellent","No","No","No","No","No","Greater than 3'","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 08:42 am"
"9330","Rock Quarry Rd at MLK Jr Blvd","35.76929423","-78.63047195465","4","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Brandon Quintana "," 06/14/2022 @ 08:48 am"
"8149","Falls of Neuse Rd at Fireside Dr","35.85437187","-78.630803507241","4","Yes","None","1","None","None","None","None","No","No","None","0","0","5' or greater","Fair","No","No","No","No","No","Greater than 3'","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 11:53 am"
"8151","Falls of Neuse Rd at E Millbrook Rd","35.85121798","-78.612940876065","4","Yes","None","1","None","None","None","None","No","No","None","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 12:14 pm"
"8148","Falls of Neuse Rd at Fairfax Dr","35.85670192","-78.630803507241","4","Yes","None","None","None","None","None","None","No","No","None","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 12:35 pm"
"9346","Falls of the Neuse at Manassas Ct","35.85892871","-78.630803507241","4","Yes","None","None","None","None","None","None","No","No","None","0","0","5' or greater","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 12:56 pm"
"8951","Falls Church Rd at Nottoway Ct","35.86267273","-78.630803507241","4","Yes","None","None","None","None","None","None","No","No","None","0","0","3' to 5'","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 01:23 pm"
"8125","Volant Dr at Carlos Dr","35.86486","-78.630803507241","4","Yes","None","None","None","None","None","None","No","No","None","0","0","5' or greater","Fair","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 01:35 pm"
"8126","Carlos Dr at Falls of the Neuse Rd","35.86464167","-78.630803507241","4","Yes","None","1","4","Slim Shelter","3","Slim Shelter","Concrete Pad","No Divider","4","0","0","3' to 5'","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 02:15 pm"
"8145","Falls of Neuse Rd at Ridgefield Dr","35.86598382","-78.630803507241","4","Yes","None","1","5","Slim Shelter","5","Slim Shelter","Concrete Pad","No Divider","4","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 02:43 pm"
"8127","Falls of Neuse Rd at Springfield Commons Dr","35.86714249","-78.630803507241","4","Yes","None","1","5","Full Shelter","5","Full Shelter","Concrete Pad","No Divider","5","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/14/2022 @ 03:20 pm"
"8042","Capital Blvd at Old Buffaloe Rd","35.82885","-78.595094129584","5","No","None","1","5","Slim Shelter","5","Slim Shelter","Concrete Pad","No Divider","4","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 05:58 am"
"9443","Capital Blvd at Capital Square Shopping Center","35.822936","-78.595094129584","4","Yes","None","4","5","Slim Shelter","4","Slim Shelter","Concrete Pad","Divider","3","0","0","3' to 5'","Fair","No","No","No","Yes","No","Greater than 3'","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 06:18 am"
"8044","Capital Blvd at Huntleigh Dr","35.82087","-78.595094129584","5","Yes","None","None","4","Full Shelter","4","Full Shelter","Concrete Pad","Divider","4","0","0","3' to 5'","Fair","No","No","No","Yes","Yes","Greater than 3'","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 06:36 am"
"8785","Six Forks Rd at Sandy Forks Rd","35.86171985","-78.626446051601","4","Yes","None","None","None","None","None","None","No","No","3","0","0","5' or greater","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","Yes","No","No","Yes","No","Greater than 3'","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 06:48 am"
"8045","Capital Blvd at Brentwood Rd","35.81864939","-78.595094129584","5","Yes","None","1","4","Slim Shelter","4","Slim Shelter","Concrete Pad","Divider","4","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 06:52 am"
"8019","Capital Blvd at Brentwood Rd","35.81849","-78.595094129584","4","Yes","None","1","None","None","None","None","No","No","4","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 07:05 am"
"8451","Six Forks Rd at Rowan St","35.84275","-78.626446051601","4","Yes","None","1","None","None","None","None","No","No","None","0","0","5' or greater","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 07:10 am"
"9634","Brentwood Rd at Stonybrook Dr","35.81666035","-78.595094129584","5","Yes","None","2","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 07:13 am"
"9635","Brentwood Rd at Capital Blvd","35.81804897","-78.595094129584","5","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 07:28 am"
"8020","Capital Blvd at Trawick Rd","35.82048","-78.595094129584","4","Yes","None","1","4","Slim Shelter","4","Slim Shelter","Concrete Pad","Divider","4","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 07:41 am"
"8021","Capital Blvd at Starmount Dr","35.82388038","-78.595094129584","4","Yes","None","1","4","Slim Shelter","4","Slim Shelter","Concrete Pad","No Divider","4","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 07:55 am"
"8477","Six Forks Rd at Rowan St","35.84172554","-78.630803507241","3","Yes","None","1","None","None","None","None","No","No","None","0","0","No sidewalk","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Less than 3'","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 07:56 am"
"8022","Capital Blvd at Old Buffalo Rd","35.82864854","-78.595094129584","5","Yes","None","1","4","Slim Shelter","4","Slim Shelter","Concrete Pad","No Divider","4","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 08:17 am"
"8023","Capital Blvd at Greywood Dr","35.83185711","-78.590714995128","5","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 08:30 am"
"8450","North Hills Mall at Total Wine","35.837127","-78.635166757003","4","Yes","None","5","5","Full Shelter","5","Full Shelter","Concrete Pad","No Divider","5","0","0","Less than 3'","Good","No","No","No","No","No","Less than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 08:51 am"
"9636","Buffalo Rd at Capital Blvd","35.83444021","-78.590714995128","4","Yes","None","5","None","None","None","None","No","No","None","0","0","3' to 5'","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 09:22 am"
"9637","Buffalo Rd at Bison Hill Ln","35.83173515","-78.590714995128","5","Yes","None","1","None","None","None","None","No","No","None","0","0","Less than 3'","Fair","No","No","No","No","No","Less than 3'","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 09:29 am"
"9638","Buffalo Rd at Durwood Ln","35.83040196","-78.590714995128","5","Yes","None","5","None","None","None","None","No","No","None","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 09:33 am"
"9639","3806 Buffalo Rd","35.83100748","-78.56848911419","5","Yes","None","5","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 09:42 am"
"8449","North Hills Mall at N State Bank","35.837414","-78.635166757003","4","Yes","5","5","5","Full Shelter","5","Full Shelter","Concrete Pad","No Divider","None","0","0","5' or greater","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 09:46 am"
"9641","New Hope Rd at Donna Rd","35.82680005","-78.572873294376","5","Yes","None","5","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","Yes","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 09:52 am"
"9642","New Hope Rd at Butler Blvd.","35.8242104","-78.572873294376","4","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 10:10 am"
"9643","Marsh Creek Rd at New Hope Rd","35.8218314","-78.572873294376","5","Yes","None","1","None","None","None","None","No","No","None","0","0","No sidewalk","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","Yes","No","Less than 3'","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 10:19 am"
"9128","Six Forks Rd at Selby Dr","35.82154","-78.617314964791","4","Yes","None","4","None","None","None","None","No","No","None","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 10:24 am"
"9644","Marsh Creek Rd at Vena Wilburn Elementary School","35.8209756","-78.572873294376","4","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Excellent","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 10:25 am"
"9645","Marsh Creek Rd at Pinehurst Dr","35.818352","-78.572873294376","4","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Fair","No","No","No","No","No","Greater than 3'","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 10:34 am"
"9646","Trawick Rd at Streams of Fields Dr","35.81480703","-78.572873294376","5","Yes","None","1","None","None","None","None","No","No","None","0","0","3' to 5'","Good","No","No","No","No","No","Greater than 3'","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Eviane Zanetti kumar"," 06/15/2022 @ 10:41 am"
"8101","Wake Forest Rd at Six Forks Rd","35.819435","-78.617314964791","4","Yes","None","1","5","Slim Shelter","5","Slim Shelter","Concrete Pad","No Divider","5","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 11:21 am"
"8164","Wake Forest Rd at Hodges St","35.81544789","-78.617314964791","4","Yes","None","1","None","None","None","None","","","None","0","0","5' or greater","Good","No","No","No","No","No","Greater than 3'","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 11:48 am"
"8166","McNeil St at Bernard St","35.81435147","-78.617314964791","5","Yes","None","None","None","None","None","None","","","None","0","0","3' to 5'","Poor Sidewalk Condition (cracking, vaulting, level change, surface, distress)","No","No","No","No","No","Greater than 3'","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Jason Johnson "," 06/15/2022 @ 11:59 am"
